customer_id,name,email,phone,company,gst,city,state,country,zip,amount,created
C00083,Tara Thompson,tracytaylor@example.com,890.950.7236x887,Mckinney-Wallace,22KFKBY4114W1Z3,West Antonio,Iowa,India,70966,43662.15,2025-03-12
C00493,Todd Jacobson,christopherjackson@example.net,001-810-273-2283,"Mills, Nelson and Norton",36XMFJP2245D1Z5,Clarkfurt,Illinois,India,69678,61425.14,2025-03-15
C00237,Daniel Ward,jean87@example.net,225-552-1376,Peterson-Wagner,32FRXTW8267A1ZC,Crystalbury,Georgia,Sao Tome and Principe,99264,32278.97,2025-09-15
C00292,  Laura Robinson  ,sarah80@example.com,+1-770-450-9754x510,Gomez-Garcia,21FMFHG1298J1Z6,Martinezfort ,Alabama,India,20899,95121.81,2026-03-20
C00404,Charles Wright,andersoneric@example.net,400.493.4596x2622,Koch-Rodriguez,14KBFNT2789Z1Z2,Reginaview,South Carolina,India,42584,67016.41,2024-08-22
C00273,Casey James,shawn68@example.net,815.827.3230x0857,Waller-Brooks,15FTPLE3504A1ZC,North Paulshire,Hawaii,India,25958,77307.52,2026-03-15
C00194,Elizabeth Barnes,jamesdowns@example.org,+1-958-983-7340x312,Moore Inc,21DPXSN8056B1ZE,Matthewmouth,Arizona,India,14187,41263.97,2026-02-26
C00186,Jessica Roberts,ureyes@example.net,+1-801-985-6945x44149,"Curry, Navarro and Chapman",26MHVRS8486L1ZA,Amytown,California,American Samoa,54404,41056.86,2024-10-14
C00318,Matthew Parker,anunez@example.com,4008258955,Peters Group,21MNPZD2108Z1ZA,Andersonfurt,Washington,India,23270,47066.49,2025-06-09
C00252,Alyssa Reynolds,watkinsconnie@example.com,931-373-5058x319,"Griffin, Martinez and Villegas",34CYUSE6062Y1Z5,North Samantha,New Hampshire,India,07682,18222.42,2025-03-22
C00485,Shannon Manning,alyssa89@example.net,+1-736-207-9848x704,Lawrence-Hanna,37EEADM8109K1Z5,West Mary,Iowa,India,59387,85810.24,2025-02-21
C00276,Cody Taylor,hwhite@example.com,001-932-330-2346,"Martin, Carter and Gray",24REVBL5961P1Z3,Washingtonville,Alabama,India,08503,35259.03,2025-02-22
C00418,Taylor Flores,CHASE25@EXAMPLE.NET,389.521.8785,"Bailey, Park and Bray",22ODRKD8007D1Z5,Crawfordchester,California,India,22959,66958.66,2024-08-17
C00028,Rebecca Pearson MD,martineztammy@example.com,371-987-0262,Morgan-Schwartz,13PFVRI6947Y1Z4,Courtneyfort,Ohio,India,05206,24163.07,2025-11-22
C00259,Dale Roy,brobinson@example.com,001-925-748-1214,Silva Group,13GNVBC6655D1Z8,Ortizfort,Massachusetts,India,36286,67853.97,2025-05-23
C00103,James Oconnor,nicolesnyder@example.com,(286)717-9327x104,Lynn-Jones,18KYKUE9540J1Z0,West Brookefort,Virginia,India,04563,27532.28,2025-07-01
C00131,Aaron Carlson,torreskaitlin@example.net,(436)282-2239x431,"Murray, Dunn and Roberts",12EQGMU5569L1Z9,Lynnstad,Florida,India,88489,46524.38,2025-12-22
C00306,Valerie Durham,jasonwalker@example.net,(312)960-6501,"Harrell, Johnson and Diaz",17FPEAK8391A1Z6,Port Ian,West Virginia,Burundi,98556,41548.2,2025-09-13
C00119,Tommy Moore,epruitt@example.net,+1-272-396-5902x77167,Pena-Smith,34RHXVK1508U1Z2,Lake Morgan,North Dakota,India,69065,2135.96,2026-01-16
C00061,Tyler Miller,vdouglas@example.com,538.548.4219,Santiago PLC,30OOODG9666A1ZA,Jenniferville,Utah,India,18519,55504.77,2024-08-04
C00056,Anthony Dougherty,kwright@example.com,001-953-227-8774,Landry PLC,17DPNLW5351D1Z7,West Troyfort,Maine,India,70846,64585.53,2024-08-06
C00020,Robert Peterson,angela83@example.org,367.683.7770,Sullivan and Sons,26TQLXE9085J1ZC,Ronaldside,Michigan,Guinea,92625,86124.18,2025-07-18
C00337,Marc Yoder,BRIAN62@EXAMPLE.COM,+1-907-787-0104x15914,Martinez PLC,35RGVTD8179S1ZB,New Douglas,West Virginia,India,65421,23675.94,2024-11-13
C00110,James Martin,mercedesholland@example.net,246.580.0722,Franklin-Hahn,35TTPRB4613Y1Z0,Stephenborough,New Jersey,India,40103,43640.01,2026-01-07
C00173,Jennifer Williams,ann30@example.net,244.314.4885,"Cook, Foster and Carroll",29BLMVV4920R1ZF,Hendrickston,Tennessee,India,18294,1466.08,2025-08-08
C00096,Lauren Moore,shannonedwards@example.org,+1-453-674-7411,"Terry, Williams and Huff",22UJFTP4997W1ZE,Palmerport,Kentucky,India,23290,653.93,2024-08-24
BAD1,"",not-an-email,abc,,INVALID,,"",??,xx,-50.0,not-a-date
BAD5,"",not-an-email,abc,,INVALID,,"",??,xx,-50.0,not-a-date
C00283,Frank Moody,hornjenna@example.com,+1-329-427-7423x3305,Clements-Simmons,30KDGWE3827L1ZB,North Tinamouth,Pennsylvania,India,57362,43832.05,2024-11-23
C00498,April Lee,oconnorjennifer@example.com,549-536-9995x167,Williams-Rogers,32EWPIV3527F1Z7,South Susan,Alaska,India,90905,10744.44,2024-09-28
C00265,Morgan Ellis,hollydavis@example.net,8323484137,Jones-Garcia,11XXUAC8147K1ZA,Jaredton,New Jersey,India,04002,7878.47,2024-09-25
C00396,Christopher Bates,sue79@example.com,001-843-847-4524x55574,Smith-Case,31DAWPZ5331I1Z0,Wangtown,Virginia,India,27005,24727.26,2025-01-09
C00104,Carmen Preston,brianrivera@example.org,(288)744-4310x69872,Patterson LLC,12QOMEM5681G1Z2,East Georgeport,Colorado,India,62572,32038.99,2026-05-17
C00371,Kevin Murphy,ruth80@example.net,904-976-0440x907,Wells Ltd,23WIZGC5067X1ZF,New Patriciaberg,Virginia,Saint Pierre and Miquelon,23688,93381.78,2026-06-07
C00315,Emily Hernandez,fpeck@example.com,364-280-7279,Reese and Sons,29ASIXK9782M1ZA,Robinsonborough,Illinois,India,89581,57547.24,2025-10-22
C00362,Pamela Tran,stonemichael@example.org,(586)534-2556,Johnson Inc,11WHGGZ5336Y1Z1,Williamsport,Maryland,Anguilla,30648,41717.02,2025-12-03
C00181,Kayla Abbott,bryan80@example.org,001-885-814-0369x656,Gardner-Bates,20EIMJY9903X1Z7,Mooreberg,Florida,India,02021,32245.56,2024-09-24
C00268,Connie Khan,jenniferwilliams@example.net,855-383-9386,Lewis LLC,29ULAZP8538U1Z6,South Jasonbury,California,India,86741,84463.99,2026-04-25
C00307,Elizabeth Jenkins,scott04@example.org,(800)992-8206,"Dawson, Scott and Armstrong",22TTOBK9224R1Z6,New Nicholasberg,West Virginia,India,28270,99453.08,2025-06-07
C00213,Ashley King,ihall@example.org,401-670-2695,"Hanson, Wolf and Guerrero",22HXFYD6992M1ZC,Ebonyfort,North Carolina,Eritrea,71599,1490.47,2025-04-23
C00496,Stephen Brown,nwarren@example.com,342-944-2607,Turner-Walker,23MSREY4043R1Z7,South Jeffrey,Florida,India,02748,61899.73,2026-03-29
C00145,Chelsea Baker,thomas95@example.com,(976)436-5564,"Anderson, Johnston and Perez",19GURZP3068J1Z0,Chaseborough,Georgia,India,97303,1325.31,2024-11-24
C00073,Debra Sanders,susan79@example.org,001-234-410-1666x870,Porter Group,17PYVKG3662H1ZF,East Jasonshire,New Mexico,Faroe Islands,06603,2576.16,2026-07-18
C00027,Janet Weeks,MICHELLEHILL@EXAMPLE.COM,784-804-4997x27875,Cantu-Kane,27SPKYO9689X1ZA,Williamsfort,Virginia,India,50469,48911.71,2025-05-26
C00066,Miranda Foster,reesebeth@example.org,(851)980-1704x62265,Bennett-Vega,11QIIPW1058H1Z5,New Phillip,Florida,Saint Lucia,29689,63747.63,2026-05-10
C00229,Rebecca Anderson,SOLISJUSTIN@EXAMPLE.ORG,001-518-496-1642x3610,Chan-Mitchell,29WPJHT1046F1Z3,Fitzgeraldport,Utah,Netherlands,17709,14554.33,2025-05-05
C00329,Ashley Murray,mcgeejohn@example.com,(340)778-7541,Lewis-Sanders,22BGVDC6554R1ZF,Coreyfurt,Washington,India,55890,49802.59,2024-12-28
C00466,Kimberly Thomas,kingtammy@example.net,(501)634-7789x4896,Jarvis Ltd,34FMGEB6246Y1Z1,Davidburgh,Delaware,India,47861,41451.62,2026-03-13
C00150,Eric Gutierrez,kevinsmith@example.org,(547)280-7740x649,"Brooks, Jenkins and Castro",29ZPKTV4697P1Z7,Claytonbury,Kentucky,India,10883,44327.83,2025-06-23
C00326,Jennifer Horton,psnyder@example.org,(491)303-0021x563,Ramsey LLC,27IASDQ8756Y1Z3,North Brandonport,California,India,35068,64725.36,2025-04-12
C00262,Mr. Henry Perez MD,sfarmer@example.net,859-809-0225x9999,Fry Inc,34IYMEG3248V1Z3,Fowlerport,Colorado,India,22969,12086.44,2024-10-20
C00157,Deborah Williams,davenportchristian@example.org,811.338.6338x39288,"Ray, Craig and Park",30BGKYL4241J1Z8,Wagnerburgh,Ohio,India,79133,22558.46,2025-07-10
C00138,Jason Golden,zperez@example.com,001-865-699-1624x73149,Smith Ltd,25YAKHH9698H1Z6,South Diamondmouth,Nebraska,India,47984,74618.95,2024-10-21
C00062,Vanessa Moore,mwoods@example.com,440-619-3802x62067,Smith PLC,31MGVSD2697P1ZE,Smallberg,North Carolina,India,61845,88982.3,2025-02-27
C00320,Molly Roman,qtownsend@example.org,612-609-1179x112,Davis Group,35XNZGF2106Y1Z6,South Charlesland,Indiana,India,90591,65744.73,2025-06-22
C00106,Karen Keith,zevans@example.net,4894899217,Stokes and Sons,14CBFRB4505M1ZC,Port Brooke,Massachusetts,India,95803,33155.05,2026-07-11
C00029,Mark Mccall,juliehamilton@example.org,001-517-824-0050x45562,"Maldonado, White and Thompson",28NYNRP2290F1ZC,East Steven,Kentucky,Kuwait,33967,81620.72,2025-12-30
C00299,Daniel Horton,ugordon@example.net,643-244-8123x083,"Hernandez, Stephenson and Ho",35RYDPP8355N1Z2,North Deborahstad,Massachusetts,India,11412,31015.84,2026-01-29
C00091,Kathryn Perry,imiller@example.net,+1-324-614-1832x856,"Kim, Ashley and Allen",26PFBHD8752N1ZF,West Elizabethburgh,Delaware,India,02161,28450.26,2026-01-31
C00447,Keith Carroll,sharpjennifer@example.com,712-721-8231,Miller-Cooper,24EFZID4839H1Z1,Mayfurt,Vermont,Cape Verde,72341,77628.76,2026-05-01
C00090,Katrina Adkins,debbie37@example.com,437-891-8055,"Fisher, Payne and Thompson",30EXEBL6279E1Z9,West Jasonton,Montana,India,66903,67595.16,2025-03-10
C00348,Juan Martinez,barryyoung@example.com,+1-671-807-0449x6410,Smith-Reyes,30CCONY3852L1Z6,Patelport,Arizona,India,71482,12224.11,2026-03-15
C00003,Zachary Hicks,camposmichelle@example.org,+1-326-691-6697x8480,"Peterson, Carter and Moore",16AUUQG9928W1Z8,New Rita,South Dakota,India,39618,58967.64,2026-05-15
C00465,Eric Petersen,mramirez@example.com,+1-439-324-3588x53798,"Sharp, Carter and Wright",25MYOVL8635P1ZD,Brooksfurt,New Mexico,Saint Barthelemy,35987,72269.12,2026-07-25
C00436,Paul Wolf,vhopkins@example.net,9298090463,Johnson-Powers,19SYVXZ7698G1ZF,Russellmouth,Florida,Western Sahara,45883,76606.19,2026-02-09
C00471,Maria George,meghanwerner@example.com,3316219804,Hernandez-Thomas,25BRLOA8550T1ZF,New Carl,Colorado,Niger,07335,35282.4,2025-10-18
C00197,Joel Smith,pfitzgerald@example.org,869-839-2906x00780,Pacheco-Horton,24GCFPF5161J1Z9,Lake Jessicaborough,Florida,India,47477,1038.8,2025-03-17
C00378,Susan Barnett,wmccarthy@example.org,(925)226-5469x6815,Blackwell and Sons,21XPXXV1741G1Z7,New Carolfurt,California,India,85118,56225.5,2025-01-25
C00041,Jordan Bullock,michael23@example.org,(943)929-2127,"Glass, Cunningham and Reid",13NUOUJ1993C1Z7,South Scottport,Louisiana,Nauru,07863,80079.19,2025-04-30
C00287,Ronnie Bernard,BRITTANYRAMIREZ@EXAMPLE.NET,+1-861-484-4626x714,"Harris, Soto and Adams",22OSPMT5655X1Z3,South Lorraine,Massachusetts,Solomon Islands,57337,65690.75,2025-05-21
C00133,Shannon Taylor,josemercado@example.org,001-910-480-9969x3084,Long-Vance,15LUSID8988G1Z1,South Michaeltown,Texas,India,31811,25909.41,2026-05-20
C00469,Bradley Marquez,yhernandez@example.net,001-860-984-3768x55078,"Harris, Thomas and Jones",22SRYKY5026Z1Z0,East Leon,Montana,India,36433,94352.11,2025-02-09
C00065,Kelly Rice,christian91@example.org,+1-983-398-2258,"Harris, Aguilar and Davis",37GCZDD1832I1ZC,Bryantton,Oklahoma,India,61105,82951.87,2026-01-04
C00288,Larry Jones,schmidtgabriella@example.com,251-355-4234,Petty-Walker,29GYHLH3463U1Z5,Briannafort,Connecticut,India,69832,66394.85,2025-04-27
C00039,Jose Reed,campbellerika@example.com,740.336.9003x43244,Jimenez Group,16LIYIT2545O1ZD,Charleston,Nevada,India,02957,35494.33,2025-07-23
C00351,Christopher Pitts,halldiamond@example.org,+1-287-595-0830x44058,Rodriguez-Hunter,29HGEPN2412U1ZC,Mariachester,California,India,84634,99959.54,2025-06-27
C00365,Sean Burns,christopherpowell@example.com,893.207.4645x20599,Vaughn-Fischer,22YFIFU5873P1Z9,West Steven,New Mexico,India,67928,6085.31,2025-10-04
C00190,Samuel Peterson,shodges@example.net,728.906.3461,Mcclure Group,34VMICM8994B1ZB,South Paul,Ohio,India,84833,23553.55,2025-03-27
C00079,Kimberly Mclean,ystephens@example.com,001-789-811-3529x096,Smith LLC,12OGVHJ5573L1Z6,South Neil,New Jersey,India,89571,40027.87,2025-10-31
C00337,Marc Yoder,brian62@example.com,+1-907-787-0104x15914,Martinez PLC,35RGVTD8179S1ZB,New Douglas,West Virginia,India,65421,23675.94,2024-11-13
C00229,  Rebecca Anderson  ,SOLISJUSTIN@EXAMPLE.ORG,001-518-496-1642x3610,Chan-Mitchell,29WPJHT1046F1Z3,Fitzgeraldport ,Utah,Netherlands,17709,14554.33,2025-05-05
C00222,Dawn Davis,kennethvillarreal@example.org,456.604.1776x561,"Jones, Fisher and Daniel",18JVUDS1536B1Z6,Lake Darlenemouth,Tennessee,India,18338,44525.12,2024-08-02
C00488,Dr. Sarah Smith,camerontownsend@example.com,(317)951-8878,"Mendez, Floyd and Kelly",18FWLYZ9897M1ZB,Jessicaland,California,India,21772,85057.72,2024-11-21
C00267,Donald Alexander,jayjohnson@example.net,+1-237-208-1647,Barton and Sons,13PXPMF7636B1ZA,Johnsontown,Michigan,Swaziland,25686,17270.13,2026-01-10
C00102,Tiffany Myers,whitelucas@example.net,791.472.5135,"Mcclure, Davis and Fletcher",25OUVCA8373Q1Z3,East Heather,Minnesota,Equatorial Guinea,14661,84002.3,2026-02-10
